,category,total
0,Tours,3
1,Massage Therapy,3
2,Bike Rentals,3
3,Bars,3
4,Wine Tours,2
5,Wine Bars,2
6,Waffles,2
7,Vietnamese,2
8,Thai,2
9,Tapas/Small Plates,2
